,_id,count,avg_tone,sd_tone,avg_scale,sd_scale
0,38,102329,-2.0862559674777135,3.952462084503321,0.536833515753264,4.7222854505455665
1,31,102342,-2.095782983413733,3.941879380858728,0.5218952140861034,4.714224323996707
2,39,102336,-2.0788666452032922,3.949086862040969,0.549107343528607,4.709656669000686
3,36,102343,-2.0811526575200525,3.9456510433021372,0.547949542225653,4.710434492443687
4,15,102348,-2.081377058830876,3.9340639758791647,0.5562580607339664,4.701641256920293
5,33,102348,-2.092611477097998,3.9552519032017273,0.5597578848634072,4.704260980450029
6,8,102343,-2.0831671875030793,3.9271839013039225,0.5322780481131891,4.738583767559345
7,42,102349,-2.084823454038342,3.9527121003485512,0.5388967053581897,4.7134343904666265
8,17,102333,-2.066029293991187,3.945460502275909,0.5519832312157369,4.689479583729585
9,23,102335,-2.0789235070468233,3.933940320362746,0.5488044168661749,4.690169803499523
10,20,102334,-2.072911105379004,3.950694289344142,0.5353066489465661,4.709152359702533
11,40,102354,-2.0644890213083,3.9427046392417875,0.5456210797819333,4.699648060912369
12,16,102346,-2.0660453338824105,3.938592584475056,0.5717243468235201,4.686696222386305
13,7,102335,-2.078591759114215,3.9447346598286543,0.5396003322421459,4.713469045169089
14,3,102330,-2.0844798328828404,3.9528058476429715,0.5403174106793839,4.708206479827431
15,37,102335,-2.101910108208412,3.950075800669394,0.5401493164472848,4.710268294668758
16,19,102351,-2.093698207256042,3.9588971949309033,0.5326165119687347,4.712024081618766
17,22,102345,-2.0700329623570353,3.942775849648805,0.5457046822481044,4.696583754817895
18,9,102350,-2.0667953946829654,3.951729530136051,0.5475915974596971,4.702590708124197
19,28,102343,-2.0894427604049977,3.945086771681978,0.553940708604483,4.711582914430955
20,5,102329,-2.0910323162485267,3.9530522375679364,0.5327228840309198,4.722325862712537
21,12,102337,-2.0857514856061488,3.945605925793756,0.5331212867417136,4.72437643484905
22,25,102335,-2.0609394968882375,3.9387709492428153,0.5468661441945004,4.709189359131547
23,2,102334,-2.091446541715349,3.9639537563577236,0.5338626458459553,4.711702720997885
24,21,102335,-2.075208855773949,3.956400506114354,0.5470054233644402,4.711902804951385
25,0,102353,-2.0785928624234575,3.9506653278938217,0.5284407882524206,4.7125342379763095
26,24,102335,-2.0806003575154994,3.947459739414363,0.530315437684445,4.704683202551264
27,4,102329,-2.0880227908519906,3.958683752238107,0.5311485502643435,4.71987184265554
28,13,102335,-2.0748252571996657,3.9583354180008787,0.5322646210973763,4.729482382102641
29,10,102353,-2.08809278116921,3.9444143452327793,0.5261487206041836,4.719707923029307
30,27,102340,-2.0619489295770594,3.9450139598220355,0.5551646977203217,4.697242112639048
31,34,102343,-2.081995190927592,3.9320673632675964,0.5503571323881458,4.704811256714257
32,30,102348,-2.0868097808185246,3.9526400210562107,0.5188670027748467,4.716562570258741
33,11,102346,-2.0788251340256316,3.9328095926194835,0.5369700522741707,4.72401732619697
34,26,102338,-2.0720130312101266,3.946822176644627,0.5506077898727745,4.69591470485107
35,6,102331,-2.073432902181373,3.9512699371311193,0.5332440804839198,4.7181695778481645
36,29,102346,-2.08185485883747,3.947047059918051,0.534148867566881,4.710745747014217
37,1,102347,-2.087553066797328,3.928202162946556,0.5182965792841998,4.706713181391622
38,35,102338,-2.0884212813071694,3.936101776251989,0.5520877102123377,4.709601290756756
39,32,102342,-2.0850294415992074,3.9393904618375393,0.5281380078560122,4.707016090749956
40,14,102339,-2.052676513819135,3.9473861218888864,0.5493409159753369,4.705577779474621
41,18,102345,-2.0758912681088946,3.943567791576996,0.5544345107235331,4.715628430695418
42,41,102353,-2.0739192816567993,3.9537802917017753,0.5275038347679111,4.72535527571754
